ID,Location,Catalogue or inventory number or Provenance,Ht (= height),Diam,Plate reference,Description
620,Paestum, from Roccadaspide Tempalta (1984),Ht. 20, ,"PLATE 135c,d ","phlyax actors all wear the typical costume—a slightly padded red jerkin, with tightly fitting hose covering the arms and legs, and a large phallus. Touches of white are often added to the eyes, and on older phlyakes there is a large blob of white on the space between the eyes and the eyebrow, which is strongly arched, as on some earlier examples (e.g. on nos. 1/99-104). B.M. F 150 (no. 45) gives a spirited version "
621,Okayama,6014,Ht. 14, , ,
622,Padula, from C. Andriuolo,Ht. 29, , ,"accompanied by Hermes on a similar pursuit. On the B.M. krater the lover, who does not wear a tunic over his jerkin, like the torch-bearer, and must therefore be deemed to be naked, is climbing up the ladder that leads up to the window in which the bust of his inamorata is visible; in his left hand is a crimson fillet, in his right a clutch of white eggs, which he offers her, with a highly expectant look. She can only be said to view his ardour with a certain absence of interest. We have already seen "
623,Paestum,1253,Ht. 18, , ,"with some frequency on Paestan vases, and indeed elsewhere in South Italian, as Schauenburg has illustrated in his article in RM  79, 1972, pp. 1-15, with addenda in 80, 1973, pp. 271-3. To the right stands a servant, who has lighten his master on his way with the blazing torch he holds in his left hand; there is a situla6 in his right. The draped youths on the reverses fall into varous groups—at first we have a combination of Type Al and A2 (nos. 34-9), then various combinations with Type A3, in which the himation is so draped as to produce a V- or U-shaped opening over the chest (nos. 40-7, 50-1), and finally with Type B, in which the torso is left exposed (nos. 52-65). The himatia in all cases have a plain black stripe as the border; the youths hold various objects (stick, egg, fillet, wreath, 'skewer of fruit'), and often wear wreaths round their heads (e.g. nos. 37-8, 41-5, 52-7, 60, 61, 63-5). The shape "
624,Paestum,11451 (L.445). ,Ht. 17, , ,pronounced convex curve as it approaches the stem; elsewhere the body assumes its more characteristic cylindrical form. 
625,Detroit,5272,Ht. 19, , ,"(a) Young satyr with thyrsus and fillet, Dionysos with thyrsus, drapery over 1. arm and held in r. hand, (b) Air + A2r. 6The object in the 1. hand of the servant on this vase, which reappears on many others in a similar context (e.g. nos. 174 and 177 by Asteas; nos. 257, 263, 266, 269, 271, 288, 296-7, 311 by Python) has "
626,Paestum, UCLMA 8,Ht. 18, , ,"Lichthauschen', in BJbb 118, 1910, pp. 270 ff. and pi. 28, on which the B.M. vase is illustrated as fig. 4; also Wolfgang Radt, 'Lampen und Beleuchtung in der Antike', in Ant. Welt 17/1, 1986, pp. 40 ff, where the vase is illustrated (in an old and very bad drawing) on p. 42, fig. 6. Both here and on nos. 174 and 177 the phlyax who carries it is also holding a blazing torch, which would render a lantern unnecessary. Further the sides of the vessel look to be solid and not, as might be expected, perforated or partly cut away to allow the emission of the light (as on Loeschke, pi. 28, 6 or pi. 29, 13), nor does it correspond with extant terracotta lanterns, especially in regard to the handle. Actual situlae, like the one here, are found in both Apulian and Campanian, but not as yet in Paestan (cf, however, no. 1/104). An Apulian example, very similar in shape to this one and having "
627,Paestum, Mus. Prov.,Ht. 20, , ,"Bull. Metr. Mus., Summer 1962, pp. 25ff., fig. 1; RVAp I, p. 417, no. 17, pi. 150, 3-\; cf. also no. 17a). Situlae appear regularly on Apulian vases, sometimes with figured decoration, which would rule out the possibility of their being any form of lantern (e.g. RVAp  II, pis. 335, 5; 384, 8); they are also "
628,Paestum, Ny Carlsberg H 53. ,Ht. 22, , ,
629,Paestum,5981,Ht. 22, , ,
630,Salerno,4973,Ht. 18, , ,
631,Salerno, Kurashiki Museum 79. ,Ht. 22, , ,"Pontrandolfo, Dial, di Arch. 1979/2, p. 37, fig. 8 (showing whole tomb), reproduced in I Lucani, pi. 20) (a) Dionysos with thyrsus and horn, draped woman with wreath in upraised 1. hand and fillet over 1. arm, [b) Air + A2r. "
632,Paris, from Tepedino,Ht. 21, , ,"(a) Phlyax, holding phiale in 1. hand, running to 1., followed by Dionysos, with drapery over r. thigh and 1. arm, [b) Air + A2r. "
633,Paestum,32029,Ht. 21, , ,"PP, no. 44, pi. lOe and fig. 18; PPSupp, no. 52. [a) Young satyr seated on enclosed fan-palmette, holding cup in r. hand and wreath in ]., Dionysos with horn and thyrsus, drapery over 1. arm, [b) Air + A2r, both with sticks. "
634,Paestum,21495,Ht. 21, ,PLATE 136a ,"PP, no. 61, fig. 20; PPSupp, no. 75. (a) Young satyr with phiale in r. hand, thyrsus and fillet in 1., draped woman with fillet over 1. arm, (a) Air + A2. "
635,Melbourne University,24.156. ,Ht. 21, , ,
636,Paestum,21504,Ht. 33, , ,"(a) Dionysos, with thyrsus and phiale, drapery over 1. arm, following Pan playing the flute and moving to r., [b) Al + A2r, with stick. "
637,Reading,41156,Ht. 25, , ,"(a) Phlyax, with flat dish on his head, running to 1., followed by Dionysos, [b) A3c + A2. 41  B.M. F 153. Ht. 32-5, diam. 31. PP, no. 54, pi. lOd and fig. 21; PPSupp, no. 54. [a) Young satyr with torch running to 1., followed by Dionysos, holding bell in r. hand and thyrsus in 1., [b) Air + A3c, both with sticks. "
638,Paestum,32068,Ht. 21, ,PLATE 136 b ,
639,Paestum,5433,Ht. 29, , ,"(a) Young satyr playing the flute and running to 1., followed by Dionysos, holding horn and thyrsus, [b) Air -I- A3c, both with sticks. "
640,Paestum, Mus. Prov. 1552,Ht. 25, , ,
641,Paestum,(Soprintendenza) VD 38,Ht. 20, , ,"(a) Dionysos, with egg in r. hand and thyrsus in 1., facing maenad with thyrsus in 1. hand and three 'eggs' in r., [b) A3c + A2r, both with sticks. "
642,Geneva, Cab. Med. 962. ,Ht. 22, , ,
643,Once Basel Market,21137,Ht. 21, , ,"PP, no. 59, fig. 25; PPSupp, no. 74. (a) Half-draped Dionysos seated on tendril, with phiale in 1. hand, facing young Pan-satyr, with thyrsus in 1. and egg in r., [b) A3r + A2r, both holding eggs, and 1. with stick. "
644,Louvre,21138,Ht. 20, , ,"PP, no. 47, pi. 9d; PPSupp, no. 58; PhV2, p. 35, no. 36 (where bibliography to date); Hist. Hell. Eth. Ill, 2, colour-ill. on p. 419; Swaddling, Greek Theatre, front cover; Gogos, OJh 54, 1983, p. 68, fig. 11. (a) Phlyax scene—nocturnal love adventure; phlyax climbing up ladder to woman in "
645,Paestum,V53. ,Ht. 14, , ,"[b) A3r + A2, with spray; both with sticks. "
646,Once London Market,21632,Ht. 23, , ,"PP, no. 45, pi. 10c and fig. 17; PPSupp, no. 56. (a) Bearded silen seated in front of Dionysos, who bends forward in front of him, a piece of drapery over his 1. arm and round the lower part of his body, [b) A3r + A2r. "
647,Rheinbach, University 22.iii.23 (lid only). ,Ht. 26, , ,"(a) Young satyr with fillet and phiale, Dionysos with 'skewer of fruit', moving to 1., [b) A3c + A2, both with sticks. "
648,Rheinbach,4975,Ht. 25, , ,condition. 
649,Paestum from, from C. Spina,Ht. 20, , ,"(a) Pan in front of seated half-draped Dionysos, [b) Al + A2r (almost all worn away). EARLY VASES  73 49  S. Agata 184. Ht. 30. "
650,Madrid,24987,Ht. 22, , ,"(a) Dionysos and bearded silen, [b) A3c + A2r. "
651,Paestum,5434,Ht. 21, , ,
652,Paestum,462,Ht. 22, , ,"(a) Papposilen, holding up cup in r. hand and resting 1. on lap of seated half-draped Dionysos, who holds an egg in his r. hand and a thyrsus in his 1., [b) with stick in r. hand and fillet in 1., + A3c. "
653,Paestum, MuM. ,Ht. 22, , ,"(a) Dionysos with drapery over 1. arm and phiale in 1. hand running to r. after a white-haired phlyax playing the flute, [b) Bv + A3c. "
654,North German private,K573. ,Ht. 19, , ,"(a) Young satyr playing the flute and running to 1., followed by Dionysos, with drapery over both arms, [b) Air + Br. "
655,Paestum,5392, , , ,"(a) Young satyr with thyrsus and phiale standing in front of half-draped Dionysos seated on altar, with wreath in each hand, (b) Air, with egg, + Bv, with phiale and stick. 54  B.M. F 152. Ht. and diam. 31. PP, no. 40, pi. 10b and fig. 20; PPSupp, no. 48. (a) Half-draped Dionysos, with tambourine in 1. hand, standing in front of Eros, holding a fillet in both hands, (a) Bv, with stick and egg, + A2r, with fillet. "
656,Paestum, Charles Ede Ltd. ,Ht. 24, , ,
657,Turin, Koch coll.  ,Ht. 20, , ,"(a) Nude young satyr standing in front of half-draped Dionysos, seated upon a palmette and holding a thyrsus in his 1. hand, [b) Bv, with stick in r. and egg in 1. hand, + A2r, with stick. "
658,Paestum, C. Koch coll. ,Ht. 20, , ,"PPSupp, no. 53, pi. 4a; Marzullo, Tombe dipinte, pp. 12-14, fig. 3; Patroni, KPfigs. 16-17. (a) Young satyr, holding phiale and wreath, bending forward in front of Dionysos, (o) Bv, with spray and egg, + A2r, with stick. "
659,Paestum,C. Spina,Ht. 20, , ,"(a) Dionysos with thyrsus and phiale, running to r., after Pan, with horn in r. hand and torch in 1., (a) with fillet in r. hand, and 'skewer of fruit' in 1., + A2r, with stick. "
660,Madrid,11318. ,Ht. 28, , ,
661,Leningrad,20211,Ht. 23, , ,"p. 224, fig. 96. (a) Eros resting his 1. hand on the knee of seated half-draped Dionysos (much repainted); female mask suspended above (now almost disappeared), [b) Bv -I- A2r. "
662,Paestum,21585,Ht. 20, , ,
663,Como, from C. Spina,Ht. 21, , ,
664,Paestum,coll. ,Ht. 21, , ,
665,Once Tokyo Market,1247,Ht. 20, , ,"(a) Young satyr, with r. hand held above his head and kantharos in 1., running to 1., followed by Dionysos, with fillet in r. hand, thyrsus in 1., and drapery across r. thigh and over 1. arm, (b) Bv + A2r. "
666,Once Basel Market,1248,Ht. 17, , ,"PP, no. 41; PPSupp, no. 49. (a) Seated half-draped Dionysos, with Eros in front of him, (o) Bv, with stick in r. hand, fillet and three balls in 1., + A2r, with stick. "
667,Naples,4585. ,Ht. 18, ,"PLATE 136 e,f ",
668,Paestum,21456,Ht. 18, ,"PLATE 136g,h ","(a) Half-draped Dionysos seated on tendril, with bird perched on r. hand and phiale and wreath in 1., facing young satyr with thyrsus in 1. hand and egg (fruit ?) in r., [b) Bv, with egg in r. and egg and fillet in 1. + A2r, both with sticks. "
669,Once Rome Market,32058,Ht. 18, ,PLATE 137a ,"PP, no. 43, fig. 19; PPSupp, no. 51. (a) Half-draped Dionysos seated on fan-palmette, holding up cup in r. hand and wreath "
670,Paestum,11335 (L. 522, ,Diam. 18. , ,
671,Paestum,inv. 3044. ,Ht. 17, , ,
672,Geneva Market,20370,Ht. 17, , ,
673,Paestum,128. ,Ht. 14, , ,"34-7, ill on p. 38. (a) White-haired phlyax with fillet in r. hand and two eggs in 1., standing in front of seated half-draped Dionysos, with horn in his r. hand and thyrsus in 1., (a) Bv, with stick and egg + A2r, with stick. "
674,Paestum,7457,Ht. 18, , ,"PP, no. 38, pi. 9a; PPSupp, no. 47; PhV2, p. 37, no. 43 (with bibliography to date). (a) Phlyax, with wreath in r. hand and phiale in 1., standing in front of Dionysos, who bends slightly forward, with a round object (cake ?) in his r. hand and a thyrsus in his 1., [b) Bl + A2r, with stick. "
675,Madrid, Sotheby,Ht. 15, , ,"PP, no. 63, pi. 12c; PPSupp, no. 92. (a) Young satyr, bending forward over raised 1. foot, in front of half-draped Dionysos, seated on altar holding thyrsus in 1. hand, [b) Bl, with stick, + Br, with fillet. "
676,Paestum, MuM. ,Ht. 10, , ,"PP, no. 65, pi. 14c; PPSupp, no. 98. (a) Young satyr with torch in 1. hand running to 1., followed by Dionysos, with thyrsus in 1. hand, drapery across lower part of body, (o) youth with offerings at an altar. Bell-krater (fragmentary) "
677,Paestum,1853 (inv. 82207),Ht. 15, , ,"(a) Dionysos (?) and papposilen; to 1. is the foot and part of the leg of a male figure (probably Dionysos); to r. part of a papposilen playing a flute, held in his r. hand, and holding a phiale and a wreath in his 1.; in front of him is a Maltese dog, (a) two draped youths, of which only the lower part of the youth to r. remains. Hydriai (a) With double palmette-fan below the handles and without detached framing palmettes The two hydriai in this sub-division are connected by both style and pattern-work. Below the back-handle is a large palmette-fan superposed on a smaller and squatter one, with a side-leaf or leaves, but without the usual scrolls or tendrils. In the field around are rosettes and phialai (cf. nos. 27 and 31, the latter also having an owl beneath the side-handles, as on no. 69 where, however, it appears only on the left side), and on no. 68 a typical framing palmette appears between the woman and youth in the main picture. Note the double curved scroll beside the left side-handle on no. 68, which is repeated on no. 71 and on other later vases. "
678,Salerno,32036,Ht. 14, ,"PLATE 137c,d ","Draped woman with phiale, standing nude youth with dish, drapery over both arms. Below the handles: female heads. "
679,Pontecagnano, Benedetti. ,Ht. 12, , ,"Marzullo, Tombe dipinte, p. 9, no. 1, fig 1; PP, no. 83; PPSupp, no. 89; Patroni, VP, figs. 1-4. Bearded silen with fawn-skin over 1. arm and draped woman with phiale and wreath at a stele. Below the handles: 1., owl; r., female head. (b) With detached framing palmettes beside the side-handles The hydriai in this sub-division all have a standard Paestan framing palmette (Type "
680,Paestum,25012,Ht. 16, , ,
681,Paestum,32247, , ,PLATE 137 c ,EARLY VASES 
682,Paestum, Koutoulakis 256. ,Ht. 13, ,PLATE 137/ ,
683,Paestum,39104,Ht. 15, , ,"In front of the heads below the handles on this hydria there is a small detached scroll like that on nos. 20 and 21, providing a further connecting link with the vases in that group. Between the youth and woman  in the main picture, who follow the conventional treatment for such pairs, is a small tendril-like plant, which terminates in what has been called the 'Asteas flower' (Fig. 4). No. 71 is a repetition of no. 70, with minor variations; nos. 70-72 have superposed fans below the back-handle (as also on nos. 73-9), and the picture runs up on to the shoulder. On nos. 73-8a the shoulder is flatter and decorated with laurel-pattern, meeting in a central rosette or flower. Nos. 73—6 form a very compact group, all depicting a male figure (Eros on nos. 75 and 77, Hermes on no. 76) bending forward in an almost identical pose (cf. also no. 65) in front of a seated woman wearing a peplos, with a piece of dot-stripe bordered drapery over the lower part of her body. On no. 77 an Eros leaning on a pillar replaces the figure bending forward. Nos. 78 and 78a are exceptional in this sub-division since each represents three figures, but are otherwise closely comparable with the rest. All have very similar female heads beneath the side-handles; the hair is "
684,Paestum,25011, ,Diam. 16. , ,"emerges over the ear and at the back. Sometimes there is a row of white beads as well (nos. 73-5, 78) and usually a black bead necklace (not on no. 71, nor the head to right on no. 70). "
685,Paestum,11325 (L. 529). ,Ht. 14, , ,
686,Madrid,21173,Ht. 14, , ,"pi. VI. Nude youth, with drapery over 1. arm and fillet in 1. hand, standing draped woman, between them, flowering plant. Below the handles: female heads. "
687,Vatican,31700,Ht. 14, ,"PLATE 138a,o ","Nude youth, drapery over 1. arm, standing draped woman with fillet and 'skewer of fruit'. Below the handles: female heads. 72  B.M. F 360. Ht. 31-5. PP, no. 74; PPSupp, no. 106. Nude youth with phiale and fillet, standing draped woman with mirror. Below the handles: female heads. "
688,Madrid, Soprintendenza, , , ,
689,Madrid,26224,Ht. 16, , ,"Nude youth with drapery over 1. arm, standing draped woman with dish. Below the handles: female heads. "
690,Madrid, from the area of the Heraion,Ht. 13, , ,
691,Paestum, from the area of the Heraion,Ht. 11, , ,"Eros bending forward in front of seated woman, holding dish in r. hand and fillet in 1. Below the handles: female heads. "
692,Paestum, from the area of the Heraion,Ht. 13, , ,"Eros bending forward in front of seated draped woman, holding up mirror in 1. hand. Below the handles: female heads. "
693,Dunedin, from the area of the Heraion,Ht. 15, , ,"PP, no. 69, pi. 12d; PPSupp, no. 101. Hermes, with caduceus, bending forward in front of seated draped woman, holding up dish in 1. hand. "
694,Paestum, from the area of the Heraion, ,Diam. 13. , ,
695,Madrid,22258, ,Diam. 19. , ,"PP, no. 70, fig. 28; PPSupp, no. 102. Eros leaning against pillar in front of seated draped woman, holding up dish in 1. hand. Below the handles: female heads. "
696,Paestum,11519 (L. 458). ,Ht. 14, , ,
697,Paestum,22 (inv. 17970). , ,Diam. 17-4, ,"American Arts, 28 Nov.-3 Dec. 1961) no. 233 (ill.). Draped woman with dish and mirror standing between two nude youths, r. with wreath and drapery over 1. arm. Below the handles: female heads. "
698,Paestum,11524 (L. 456). ,Ht. 17, , ,"Seated woman with dish of eggs and mirror, in front of whom Eros bends forward over his r. foot, which rests upon a tendril, with a mirror in his r. hand and a phiale and a bead-wreath in his 1.; to r. nude youth with thyrsus in r. hand, wreath in 1., leaning upon a stick. Below the handles: female heads. The shoulder is very flat and is decorated with berried laurel-wreaths meeting in a central flower; the body is squat, and the foot is in two degrees, as on no. 70. There is a single large palmette fan below the back handle and it is flanked by the typical framing palmettes. The small palmette-scroll beside the seated woman is comparable to those on nos. 17, 70, 75, 95. "
699,Paestum,11529 (L. 454). ,Ht. 12, , ,"PP, no. 72; PPSupp, no. 104. Eros and a seated woman. Below the handles: female heads. On the two following hydriai there is a large palmette-fan below the back-handle, flanked by detached framing palmettes, as on the above hydriai. No. 80 has a flowering plant between the two figures comparable to that on no. 70, though here the flower is somewhat larger and the black centre less emphasised. The treatment of the different figures, the drapery and the heads below the handles corresponds with that on the other hydriai in this sub-division. "
700,Paestum,11539 (L. 453). ,Ht. 15, , ,"PP, no. 78; PPSupp, no. 110. Standing draped woman, holding up dish in r. hand, mirror in 1., nude youth; between them, flowering plant. Below the handles: female heads. "
701,Melbourne,6257,Ht. II, , ,"Seated draped woman with phiale and wreath, standing half-draped youth with knotty stick. Below the handles: female heads. On the two following hydriai, both of which are now lost to sight, one cannot be certain of the exact form of the pattern-work, but there is no doubt that stylistically both belong to this group. 82 Munich 3295 (seemingly destroyed in World War II). Ht. 26. PP, no. 77; PPSupp, no. 109. Youth and woman. "
702,Once Rome,20137,Ht. 12, ,PLATE 138c ,"PPSupp, no. 106 bis; Greifenhagen, Gr. V. auf Bildnissen, p. 225. Half-draped youth and draped woman with fillet. Below the handles: female heads. "
703,Haverford,23.8. , , , ,placed here: EARLY VASES  77 
704,Paestum,21582,Ht. 11, ,PLATE 138c ,"(i) 28840 (6-5 x 5-5), upper part of a nude youth, (ii) 28848 (10 x 7-5), part of draped woman seated on tendril, an altar, and a female "
705,Pontecagnano,11583. ,Ht. 12, , ,
706,Paestum,5554,Ht. 14, , ,
707,Paestum,6013,Ht. 11, , ,
708,Moscow,4990,Ht. 12, ,PLATE 138/ ,"(i) Draped woman holding dish of eggs, (ii) nude youth, with drapery over left arm, beside a stele to 1. "
709,Paestum,32038, ,Diam. 13. , ,"The following hydria (pi. 37) has been treated in a manner without close parallel on other South Italian vases.7 The body has been cut right round just above the handles and below the band of egg-pattern that runs beneath the laurel-wreath and flower on the shoulder, which is more strongly curved than on the other hydriai in this section. As a result, the upper part of the hydria has been transformed into a sort of lid, which, when removed, reveals that the interor has been divided into three compartments, one filling half the available space, the other two a quarter each. Each compartment has a lid decorated in red-figure against an outline of black, the rest of the area being left reserved in red; on one of the lids there is also a female head on the underside matching the one on the other. The lids are all perforated with two holes, probably to facilitate their removal. The use of a hydria for such a purpose seems to be unique, but for a vase of a different shape with internal compartments provided with decorated lids we may compare the lepaste in the Geddes coll. in "
710,Madrid,32062,Ht. 12, , ,
711,Paestum, Geddes coll. P 3,Ht. 13, , ,"Body: nude youth, with drapery over upraised r. arm, holding mirror in 1. hand, kneeling "
712,Paestum,Market. , ,Diam. 13. , ,"Lids: (i) large—phlyax actor, holding crooked stick and wearing cloak over a white tunic; (ii) head of youth in profile to 1.; (iii) head of woman in profile to 1., with a similar head on the underside. The pattern-work consists of a large palmette-fan below the back-handle, with a triangular core, flanked on either side by one tall and one shorter scroll; below the side-handles is a detached framing palmette, with a fan above the central spiral and a drop-leaf below it; the picture itself is framed between two vertical reserved bands. The foot is in two degrees, with three reserved bands in relief for the stem; the outer edge of the upper element is also reserved. In style, the figures on the hydria seem to go most closely with those on other vases in this section, though the kneeling youth by the laver has better parallels among some of the later vases, as so far we have not seen figures in quite that posture "
713,Paestum,(Pa.),Ht. 11, , ,"29966 and the situla fragment (nos. 1/103-4), but here he is younger, still with black hair; he has the characteristic high arched eyebrows of the Astean phlyakes (cf. nos. "
714,Paestum,26655,Ht. 10, , ,
715,Paestum,26231, , , ,"at Vergina, illustrated by M. Andronicos in Vergina: The Royal Tombs (1984) on p. 214, according to whom it was 'specially constructed for use as a container of bones, since it was cut in half immediately below the shoulder so that the burnt bones might easily be placed inside. The two sections were held together by square hinges placed on the touching edges' (p. 212). The tomb is dated around 325 B.C. by "
716,Paestum,22780, ,Diam. 9. , ,"N), who will reappear on other later vases below (e.g. nos. 172-3, 177). Like so many of the slaves in phlyax plays he has a very cunning look and is obviously out to cheat someone. The treatment of the eyes, nose, lips and chin on the heads which adorn the lids of the two smaller compartments find parallels on those beneath the handles of the hydriai we have already looked at, but the hair is rendered somewhat differently. The youth has a leafy wreath round his head, the curly hair on top of which assumes the shape of a series of waves; the two women both wear stephanai with tall radiate spikes and have curly hair with a large bun at back. Only one wears a head-dress, but both have large pendant earrings. It would seem that greater care has been lavished on these two heads than those on the hydriai; it may well be that a vase of such remarkable shape was a very special order. Neck-amphorae The slender, ovoid body of the neck-amphora hardly lends itself to the use of framing palmettes, which would have to be unusually tall to fill the space available. On the five neck-amphorae below no frames are used at all, and the pictures simply stand between the large palmette-fans beneath the handles. The heads on the necks are sometimes set in a metope-like frame (e.g. on nos. 88 and 91) formed by reserved stripes around them; on no. 91, and to a lesser extent on no. 88, it will be noted that the panel is some way down on the neck, leaving an area in black-glaze immediately above it (cf. also nos. 353-4 and 357 below). The figured scenes on the obverses and the draped youths on the reverses merely repeat those we have already seen, just as the heads on the necks find close parallels with those on the various hydriai. We may "
717,Paestum,6509, , , ,"166 and 176). All the amphorae have laurel-wreaths on the shoulders; on the obverses these may meet in a central flower, as on many of the hydriai. "
718,Madrid, Pushkin Museum 185. , , , ,"PP, no. 95, fig. 32; PPSupp, no. 82. (a) Youth and woman, (a) Air, with 'skewer of fruit', + A2r, with stick. Neck: (a) and (b) female head. "
719,Paestum,31972,Ht. 29, , ,"PP, no. 96; PPSupp, no. 84. (a) Standing draped woman, with fillet in 1. hand, facing nude youth, with drapery over 1. arm, (a) Alr-r A2r. Neck: (a) and (a) female head, in square frame. "
720,Oxford,11534 (L. 455). ,Ht. 24, , ,"PP, no. 94, fig. 31; PPSupp, no. 81. (a) Nude youth (Dionysos ?) with thyrsus and phiale, draped woman with fillet and phiale, (a) Bv, with stick in r. hand, 'skewer of fruit' and fillet in 1. + A3c, with stick. Neck: (a) and (a) female head. "
721,Salerno,21193,Ht. 22, , ,"Kat. Hbg., no. 329, ill. on p. 381. (a) Nude youth, with drapery over 1. arm, bending forward in front of draped woman, with cloak drawn up over her head, (a) A31 + A2r, with fillet. Neck: (a) and (a) female head. "
722,Salerno,7425,Ht. 21, , ,"PP, no. 97; PPSupp, no. 85. (a) Draped woman with wreath, nude youth holding phiale, with a flowering plant between them, (a) Bv, with wreath and egg, + A2r, with stick. Neck: (a) and (a) female head. EARLY VASES  79 Pelikai Three pelikai find a place here, one (no. 92) without framing palmettes, the other two with them. Nos. 92-3 have superposed palmettes below the handles, no. 94 a single large fan. Again the treatment of the figures is very uniform; the only "
723,Paestum,31726,Ht. 21, , ,"reverse of no. 94 for the more canonical standing one. More emphasis now tends to be placed on the black borders of their himatia, which are a little thicker than before (cf. also nos. 87-8). "
724,Paestum,5051,Ht. 20, , ,"(a) Eros, with mirror in 1. hand, leaning against laver, standing draped woman, with mirror in 1. hand, (a) A31 + A2r, with stele between them. "
725,Paestum,20316,Ht. 25, , ,"[a] Seated half-draped woman holding wreath in r. and 'skewer of fruit' in 1., facing nude Eros who bends slightly forward, resting 1. hand on her lap and holding egg in r., (a) A3c + A2r. "
726,Paestum,21470,Ht. 24, , ,"(a) Nude youth bending forward in front of standing draped woman, (a) standing draped youth (A31) and seated draped youth (A2r), with eggs and fillet. "
727,Naples,31712,Ht. 17, , ,"Lastly in this group we may look at a few lekanides, with figured compositions on their lids. They are all decorated in much the same manner; the bowl has a band of laurel at the top between the handles, and on nos. 95-6 there is a reserved stripe on the handle at the join; the knob is decorated with superposed palmette-fans in black-figure, with a rosette on either side, and the lid with two- or three-figure compo sitions separated by varying types of palmette-scrolls, mostly of the simpler variety with a spiral and drop-leaf, although on no. 95 one of the leaves assumes a hooked "
728,Naples,11526 (L. 457). ,Ht. 17, , ,"figures, especially the young satyrs, are replicas of those on the bell-kraters and hydriai, and we may note the frequent appearance of a mirror with a large black disk in the centre, which has appeared several times on other vases (e.g. nos. 27, 31, 75, 78 and 92). "
729,Paestum,22174,Ht. 12, , ,"[a) Kneeling satyr with phiale of eggs and wreath, (a) seated half-draped woman with cista of eggs and fillet in 1. hand, egg in r. "
730,Once Zurich Market,1945.68. ,Ht. 22, , ,Seated satyr with dish of eggs; seated satyr with mirror; Eros with 'skewer of fruit'. 
731,Rheinbach, Mus. Prov. ,Ht. 21, , ,
732,Montpellier, Soprintendenza VD 58,Ht. 22, , ,"Kneeling woman with mirror, facing seated Eros with dish; kneeling satyr with dish and mirror. "
733,Once London Market, from C. Spina,Ht. 24, , ,
734,Paestum,21423,Ht. 16, , ,"Seated half-draped woman, with 'skewer of fruit' and two balls; seated Eros with ball in r. hand, 'skewer of fruit' in 1. "
735,Joliet, from Roccadaspide Tempalta (1984), , , ,
736,Paestum,32250,Ht. 13, , ,"Gabriella Prisco, A.I.O.N. 7, 1985, p. 139, no. 4, fig. 43, 1. (a) Eros with cista and fillet, (a) youth. "
737,Paestum, private coll. (2) 4,Ht. 23, , ,
738,Rennes, private coll. (2) 4,Ht. 25, , ,
739,Salerno,21424,Ht. 12, , ,"and dividing palmettes also correspond. The lid was found with a bowl (inv. 38129) but, according to Prisco, the two do not belong together. 3. MINOR VASES This section contains a number of vases of smaller dimensions which are associated in pattern-work and in style with those in the two preceding sections. Some of them are probably minor works by the painter himself, others seem to be workshop pieces. With the exception of three vases (nos. 101, 109 and 120) which have two-figure "
740,Paestum, Arete 3013. ,Ht. 22, ,PLATE 139 A ,"larger compositions on the vases in sections 1 and 2. Noteworthy is the frequent use of a broad, black stripe down the centre of women's garments, with another stripe in added white running down the middle, but without the dots on either side, which regularly appeared on similar drapery in the preceding sections. Many of the women on these vases wear a peplos with a girdle; there is a row of parallel vertical fold-lines "
741,Bologna, C. Koch coll. ,Ht. 20, , ,"114, 118, 120, 124); a somewhat similar arrangement of fold-lines, but here running diagonally across the drapery, will be seen on the running women on nos. 102, 115-7, 119, 121-3. The heads on nos. 108, 112-3 should be compared with those on the hydriai in section 2; note also the laurel-branch on nos. 112, 118-120, as on nos. 13 and 73; the owl below the handles of no. 120 recalls those on nos. 31 and 69. "
742,Stockport, Musee Fabre 39.1678. Upper part missing. ,Ht. 23, , ,"(C. Arcioni, 1977, T. 271) as the larger hydria no. 11, which shows them to be contemporary, and probably the work of the same painter. Several of the vases in this section were placed in PPSupp in the general Asteas-Python Group (e.g. nos. 101, 117, 119, 120 and 124) and two others (nos. 100 and 103) even later, but, in the light of all the new vases that have come to our knowledge since then, it will be seen that they are better placed in this comparatively early group. (i) With attached side-scrolls and 'hooked' leaves (Type III A; cf. section 1 (i) a) "
743,Paestum, Sotheby,Ht. 25, , ,
744,Paestum,4961,Ht. 22, , ,"(a) Seated half-draped woman, holding up mirror in 1., wreath in r. [b) Eros with wreath and phiale by altar. "
745,Rio de Janeiro,(111.),Ht. 25, ,PLATE 139c ,"PP, no. 359; PPSupp, no. 257. (a) Half-draped woman seated on chair, with bird on r. hand, (a) Eros bending forward to r., holding fillet in both hands. "
746,Once London Market,31727,Ht. 24, , ,"PPSupp, no. 247. (a) Nude youth bending forward over raised 1. foot, holding up mirror in r. and thyrsus in 1., standing draped woman with wreath and fillet, (a) woman with wreath and mirror. Squat lekythoi "
747,Paestum,6109,Ht. 25, , ,"Woman with phiale of eggs and fillet in r. and mirror and fillet in 1., running to 1. and looking to r. Found with 48460-2 (below), 48455 (no. 11), an early squat lekythos by the Thyrsus Painter (48464) and a lebes gamikos in applied red (48457 = App. I. no. 126, pi. 238e). The plant to the r. of woman should be compared with those on nos. 11, 106, 109. 81 EARLY VASES "
748,Los Angeles Market,863.1.27. ,Ht. 25, ,PLATE 139 d ,
